sku,name,description,category,price_retail,price_wholesale,stock,min_bulk_quantity,images,is_active
TOY-001,Robot Educativo,Juguete robotizado educativo,Juguetes,1200,950,20,2,https://aprenderbigdata.com/wp-content/uploads/golang-introduccion.jpg,true
LIB-FC-LAP12,"Lápices de Colores Faber-Castell x12","Set de 12 lápices de colores Faber-Castell con mina resistente, colores vivos y excelente pigmentación. Ideales para escuela, dibujo y arte.",Librería,4500,3800,120,10,https://images.unsplash.com/photo-1513364776144-60967b0f800f?w=800|https://images.unsplash.com/photo-1503676260728-1c00da094a0b?w=800,true
LIB-BIC-CRIST,Lapicera Bic Cristal,"Clásica lapicera Bic Cristal de punta media (1.0 mm). Tinta fluida y duradera. Disponible en varios colores.",Librería,350,280,800,50,https://www.papelerapitti.com.ar/1035-large_default/lapiceras-bic-trazo-fino-x-u.jpg,true
LIB-RIV-CUA50,Cuaderno Rivadavia Tapa Dura 50 Hojas,"Cuaderno Rivadavia tradicional de 50 hojas rayadas, tapa dura forrada. Hojas de 80g de alta calidad.",Librería,2800,2300,200,12,https://images.unsplash.com/photo-1531346878377-a5be20888e57?w=800,true
LIB-CARP-N3,Carpeta N°3 Cartón Forrada,"Carpeta tamaño N°3 con tapa de cartón forrada en cuerina. Capacidad para 200 hojas. Cierre con elástico.",Librería,3500,2900,90,8,https://images.unsplash.com/photo-1497633762265-9d179a990aa6?w=800,true
LIB-FIL-MRK6,Marcadores Filgo Punta Fina x6,"Set de 6 marcadores Filgo de punta fina (0.4mm). Tinta a base de agua, no tóxica. Colores surtidos.",Librería,5200,4400,75,6,https://http2.mlstatic.com/D_NQ_NP_730750-MLA99840911685_112025-O.webp,true
LIB-STB-BOSS4,Resaltadores Stabilo Boss x4,"Pack de 4 resaltadores Stabilo Boss en colores fluo (amarillo, verde, naranja y rosa). Punta biselada para subrayar y marcar.",Librería,6800,5700,60,6,https://images.unsplash.com/photo-1607344645866-009c320b63e0?w=800,true
LIB-MAP-GOMA,Goma de Borrar Maped Technic,"Goma de borrar Maped Technic para lápiz grafito. No mancha, no daña el papel, sin PVC.",Librería,450,380,500,30,https://inkgenio.com.ar/5424-large_default/goma-de-borrar-lapiz-maped-mini-technic-300.jpg,true
REG-NAV-ESF12,Set Esferas de Navidad x12,"Set de 12 esferas navideñas de 6cm en colores rojo, dorado y plateado. Acabado brillante y mate combinados. Ideales para árbol de Navidad.",Regalería,8500,7000,80,6,https://images.unsplash.com/photo-1543589077-47d81606c1bf?w=800|https://images.unsplash.com/photo-1576919228236-a097c32a5cd4?w=800,true
REG-VELA-LAV,Vela Aromática de Lavanda,"Vela aromática en vaso de vidrio con esencia de lavanda. Duración aproximada de 35 horas. Cera de soja vegetal.",Regalería,7200,6000,60,6,https://cdn.awsli.com.br/2500x2500/2082/2082790/produto/127657131/lavanda-vela-wza3s68hld.png,true
REG-PORT-MAD1318,Portarretrato de Madera 13x18,"Portarretrato de madera maciza, terminación natural, para foto 13x18 cm. Apoyo trasero para mesa.",Regalería,5500,4500,45,5,https://images.unsplash.com/photo-1513519245088-0e12902e5a38?w=800,true
REG-MARC-VIN2025,Marco de Fotos Vintage 20x25,"Marco decorativo estilo vintage con detalles dorados envejecidos. Para fotografías de 20x25 cm. Vidrio antirreflejo.",Regalería,6800,5700,35,5,https://images.unsplash.com/photo-1581539250439-c96689b516dd?w=800,true
REG-FLOR-VID,Florero de Vidrio Decorativo,"Florero de vidrio soplado artesanal de 25 cm de alto. Diseño moderno, base estable. Apto para flores naturales o secas.",Regalería,9500,8000,30,4,https://acdn-us.mitiendanube.com/stores/784/342/products/img_4917-70abbc21ae184f9f8817424241176169-1024-1024.webp,true
REG-CUA-ABS3040,Cuadro Decorativo Abstracto 30x40,"Cuadro decorativo impreso sobre lienzo de algodón, bastidor de madera 30x40 cm. Diseño abstracto en tonos pasteles.",Regalería,12500,10500,25,3,https://dcdn-us.mitiendanube.com/stores/004/414/838/products/diseno-sin-titulo-2025-05-29t193648-546-5f9277b295734ad72517485585749280-1024-1024.webp,true
JUG-RAS-200,Bloques Didácticos Rasti 200 Piezas,"Clásico set Rasti de 200 piezas para construir vehículos, casas y figuras. Estimula la creatividad y motricidad. Recomendado +5 años.",Juguetería,18500,15500,40,4,https://images.unsplash.com/photo-1587654780291-39c9404d746b?w=800,true
JUG-PEL-N5,Pelota de Fútbol N°5,"Pelota de fútbol número 5 cosida a mano, cuero sintético. Apta para juego en césped natural o sintético. Reglamentaria.",Juguetería,9800,8200,50,6,https://images.unsplash.com/photo-1614632537190-23e4146777db?w=800,true
JUG-BRB-FASH,Muñeca Barbie Fashionista,"Muñeca Barbie Fashionista articulada con vestuario de moda incluido. Accesorios: zapatos y cartera. Recomendada +3 años.",Juguetería,14500,12000,35,4,https://images.unsplash.com/photo-1606503825008-909a67e63c3d?w=800,true
JUG-HW-COL,Auto Hot Wheels de Colección,"Auto Hot Wheels escala 1:64 de colección. Modelo aleatorio. Cuerpo de metal con ruedas de plástico. Recomendado +3 años.",Juguetería,1800,1500,250,24,https://images.unsplash.com/photo-1594787318286-3d835c1d207f?w=800,true
JUG-RMP-1000,Rompecabezas 1000 Piezas Paisaje,"Rompecabezas de 1000 piezas con motivo de paisaje montañoso. Medidas armado: 68x48 cm. Ideal para adolescentes y adultos.",Juguetería,11000,9200,30,4,https://images.unsplash.com/photo-1612404730960-5c71577fca11?w=800,true
JUG-PD-10COL,Set Play-Doh 10 Colores,"Pack de 10 potes de plastilina Play-Doh de 56g cada uno. No tóxica, fácil de modelar. Recomendado +2 años.",Juguetería,7800,6500,55,6,https://images.unsplash.com/photo-1587654780291-39c9404d746b?w=800,true
